operation,duration_ms,payload_size_bytes,timestamp,status,additional_info
receive_instant_message,0.2658367156982422,253,2025-02-26T02:37:00.696263,success,"messages_read=1, size=100"
send_message,0.2429485321044922,248,2025-02-26T02:37:00.696547,success,"size=100, index=15"
receive_instant_message,0.2510547637939453,253,2025-02-26T02:37:00.696806,success,"messages_read=1, size=100"
send_message,0.24080276489257812,248,2025-02-26T02:37:00.697120,success,"size=100, index=16"
receive_instant_message,0.15807151794433594,253,2025-02-26T02:37:00.697283,success,"messages_read=1, size=100"
send_message,0.15878677368164062,248,2025-02-26T02:37:00.697470,success,"size=100, index=17"
receive_instant_message,0.16570091247558594,253,2025-02-26T02:37:00.697641,success,"messages_read=1, size=100"
send_message,0.18405914306640625,248,2025-02-26T02:37:00.697850,success,"size=100, index=18"
receive_instant_message,0.21719932556152344,253,2025-02-26T02:37:00.698072,success,"messages_read=1, size=100"
send_message,0.2129077911376953,248,2025-02-26T02:37:00.698313,success,"size=100, index=19"
receive_instant_message,0.2009868621826172,253,2025-02-26T02:37:00.698519,success,"messages_read=1, size=100"
send_message,0.20694732666015625,248,2025-02-26T02:37:00.698754,success,"size=100, index=20"
receive_instant_message,0.2300739288330078,253,2025-02-26T02:37:00.698990,success,"messages_read=1, size=100"
send_message,0.20194053649902344,248,2025-02-26T02:37:00.699237,success,"size=100, index=21"
receive_instant_message,0.18095970153808594,253,2025-02-26T02:37:00.699423,success,"messages_read=1, size=100"
send_message,0.16880035400390625,248,2025-02-26T02:37:00.699619,success,"size=100, index=22"
receive_instant_message,0.1919269561767578,253,2025-02-26T02:37:00.699817,success,"messages_read=1, size=100"
send_message,0.1819133758544922,248,2025-02-26T02:37:00.700027,success,"size=100, index=23"
receive_instant_message,0.1499652862548828,253,2025-02-26T02:37:00.700183,success,"messages_read=1, size=100"
send_message,0.17380714416503906,248,2025-02-26T02:37:00.700384,success,"size=100, index=24"
receive_instant_message,0.17309188842773438,253,2025-02-26T02:37:00.700563,success,"messages_read=1, size=100"
send_message,0.19407272338867188,248,2025-02-26T02:37:00.700792,success,"size=100, index=25"
receive_instant_message,0.1881122589111328,253,2025-02-26T02:37:00.700986,success,"messages_read=1, size=100"
send_message,0.1652240753173828,248,2025-02-26T02:37:00.701179,success,"size=100, index=26"
receive_instant_message,0.15807151794433594,253,2025-02-26T02:37:00.701343,success,"messages_read=1, size=100"
send_message,0.164031982421875,248,2025-02-26T02:37:00.701538,success,"size=100, index=27"
receive_instant_message,0.1628398895263672,253,2025-02-26T02:37:00.701707,success,"messages_read=1, size=100"
send_message,0.15306472778320312,248,2025-02-26T02:37:00.701895,success,"size=100, index=28"
receive_instant_message,0.1480579376220703,254,2025-02-26T02:37:00.702049,success,"messages_read=1, size=100"
send_message,0.15497207641601562,248,2025-02-26T02:37:00.702239,success,"size=100, index=29"
receive_instant_message,0.15783309936523438,254,2025-02-26T02:37:00.702403,success,"messages_read=1, size=100"
send_message,0.14281272888183594,248,2025-02-26T02:37:00.702580,success,"size=100, index=30"
receive_instant_message,0.16689300537109375,254,2025-02-26T02:37:00.702752,success,"messages_read=1, size=100"
send_message,0.16164779663085938,248,2025-02-26T02:37:00.702942,success,"size=100, index=31"
receive_instant_message,0.15306472778320312,254,2025-02-26T02:37:00.703100,success,"messages_read=1, size=100"
send_message,0.14400482177734375,248,2025-02-26T02:37:00.703276,success,"size=100, index=32"
receive_instant_message,0.15997886657714844,254,2025-02-26T02:37:00.703443,success,"messages_read=1, size=100"
send_message,0.17380714416503906,248,2025-02-26T02:37:00.703646,success,"size=100, index=33"
receive_instant_message,0.15306472778320312,254,2025-02-26T02:37:00.703803,success,"messages_read=1, size=100"
send_message,0.1552104949951172,248,2025-02-26T02:37:00.703984,success,"size=100, index=34"
receive_instant_message,0.15997886657714844,254,2025-02-26T02:37:00.704151,success,"messages_read=1, size=100"
send_message,0.15592575073242188,248,2025-02-26T02:37:00.704342,success,"size=100, index=35"
receive_instant_message,0.15020370483398438,254,2025-02-26T02:37:00.704498,success,"messages_read=1, size=100"
send_message,0.15997886657714844,248,2025-02-26T02:37:00.704691,success,"size=100, index=36"
receive_instant_message,0.15997886657714844,254,2025-02-26T02:37:00.704856,success,"messages_read=1, size=100"
send_message,0.1571178436279297,248,2025-02-26T02:37:00.705045,success,"size=100, index=37"
receive_instant_message,0.1678466796875,254,2025-02-26T02:37:00.705218,success,"messages_read=1, size=100"
send_message,0.15211105346679688,248,2025-02-26T02:37:00.705406,success,"size=100, index=38"
receive_instant_message,0.15592575073242188,254,2025-02-26T02:37:00.705568,success,"messages_read=1, size=100"
send_message,0.15807151794433594,248,2025-02-26T02:37:00.705758,success,"size=100, index=39"
receive_instant_message,0.15592575073242188,254,2025-02-26T02:37:00.705921,success,"messages_read=1, size=100"
send_message,0.15616416931152344,248,2025-02-26T02:37:00.706107,success,"size=100, index=40"
receive_instant_message,0.15997886657714844,254,2025-02-26T02:37:00.706273,success,"messages_read=1, size=100"
send_message,0.15783309936523438,248,2025-02-26T02:37:00.706464,success,"size=100, index=41"
receive_instant_message,0.15497207641601562,254,2025-02-26T02:37:00.706625,success,"messages_read=1, size=100"
send_message,0.15115737915039062,248,2025-02-26T02:37:00.706810,success,"size=100, index=42"
receive_instant_message,0.15997886657714844,254,2025-02-26T02:37:00.706976,success,"messages_read=1, size=100"
send_message,0.15020370483398438,248,2025-02-26T02:37:00.707154,success,"size=100, index=43"
receive_instant_message,0.15687942504882812,254,2025-02-26T02:37:00.707317,success,"messages_read=1, size=100"
send_message,0.15401840209960938,248,2025-02-26T02:37:00.707503,success,"size=100, index=44"
